SR          obs  bkg  bkg_err  S95_obs  S95_exp  
SR-4Q-WW    2    1.9  0.4      4.3      4.2      
SR-4Q-WZ    3    3.4  0.7      5.2      5.4      
SR-4Q-ZZ    1    1.9  0.5      3.6      4.2      
SR-4Q-VV    3    3.9  0.8      4.7      5.6      
SR-2B2Q-WZ  2    1.6  0.4      4.4      3.9      
SR-2B2Q-Wh  0    1.9  0.7      3.1      4.2      
SR-2B2Q-ZZ  2    1.7  0.5      4.3      4.1      
SR-2B2Q-Zh  1    1.6  0.5      3.7      4.0      
SR-2B2Q-VZ  2    2.2  0.6      4.4      4.6      
SR-2B2Q-Vh  1    2.5  0.8      3.4      4.9      
