SR     obs  bkg    bkg_errp  bkg_errm  S95_obs  S95_exp  
SR_1   65   58.4   9.6       9.6       29.5     24.2     
SR_2   40   47.7   8.2       8.2       14.9     18.7     
SR_3   38   47.5   7.7       7.7       13.2     18.1     
SR_4   4    3.4    1.8       1.5       6.4      6.0      
SR_5   1    0.6    0.9       0.4       3.8      3.6      
SR_6   1    2.5    1.5       1.1       3.6      4.7      
SR_7   28   18.3   4.9       4.9       22.3     15.2     
SR_8   7    5.2    1.9       1.8       8.6      7.3      
SR_9   4    4.3    2.1       1.9       6.2      6.4      
SR_10  0    4.5    1.6       1.3       2.9      5.2      
SR_11  7    9.4    3.1       2.9       6.9      8.4      
SR_12  3    3.2    1.9       1.5       5.5      5.7      
SR_13  3    1.1    1.5       0.6       6.6      5.3      
SR_14  0    0.7    0.9       0.5       3.0      3.1      
SR_15  17   11.1   3.9       3.7       16.2     11.9     
SR_16  4    3.2    1.9       1.3       6.6      5.9      
SR_17  0    5.5    2.1       1.7       3.2      5.8      
SR_18  0    1.6    1.3       0.7       2.9      3.7      
SR_19  45   58.4   9.6       9.6       14.2     21.3     
SR_20  53   53.4   9.0       9.0       22.1     22.0     
SR_21  15   24.9   5.5       5.5       7.7      12.7     
SR_22  15   19.4   4.2       4.2       9.0      11.5     
SR_23  6    6.8    2.2       2.1       7.0      7.2      
SR_24  10   12.0   3.6       3.4       8.3      9.4      
SR_25  2    6.9    2.3       2.0       3.7      6.4      
SR_26  3    2.3    1.9       1.0       6.1      5.4      
SR_27  23   18.6   5.2       5.2       17.4     14.1     
SR_28  2    2.3    1.5       1.0       4.6      4.8      
SR_29  3    3.4    1.9       1.4       5.3      5.7      
SR_30  5    4.3    2.0       1.5       7.0      6.5      
SR_31  0.0  0.015  0.7       0.0       3.054    3.112    
